"GEO","TIME","SEX","ISCED11","AGE","UNIT","Value"
"EU15","2011","T","ED0-2","Y15-74","PC_ACT","16.2"
"EA19","2011","T","ED0-2","Y15-74","PC_ACT","16.7"
"EA18","2011","T","ED0-2","Y15-74","PC_ACT","16.7"
"EA17","2011","T","ED0-2","Y15-74","PC_ACT","16.7"
"BE","2011","T","ED0-2","Y15-74","PC_ACT","13.9"
"BG","2011","T","ED0-2","Y15-74","PC_ACT","26.4"
"CZ","2011","T","ED0-2","Y15-74","PC_ACT","24.3"
"DK","2011","T","ED0-2","Y15-74","PC_ACT","11.3"
"DE","2011","T","ED0-2","Y15-74","PC_ACT","13.0"
"EE","2011","T","ED0-2","Y15-74","PC_ACT","25.7"
"IE","2011","T","ED0-2","Y15-74","PC_ACT","24.0"
"EL","2011","T","ED0-2","Y15-74","PC_ACT","18.1"
"ES","2011","T","ED0-2","Y15-74","PC_ACT","28.9"
"FR","2011","T","ED0-2","Y15-74","PC_ACT",":"
"FX","2011","T","ED0-2","Y15-74","PC_ACT","14.4"
"HR","2011","T","ED0-2","Y15-74","PC_ACT","17.4"
"IT","2011","T","ED0-2","Y15-74","PC_ACT","10.6"
"CY","2011","T","ED0-2","Y15-74","PC_ACT","7.5"
"LV","2011","T","ED0-2","Y15-74","PC_ACT","29.2"
"LT","2011","T","ED0-2","Y15-74","PC_ACT","38.4"
"LU","2011","T","ED0-2","Y15-74","PC_ACT","8.3"
"HU","2011","T","ED0-2","Y15-74","PC_ACT","25.0"
"MT","2011","T","ED0-2","Y15-74","PC_ACT","9.0"
"NL","2011","T","ED0-2","Y15-74","PC_ACT","7.8"
"AT","2011","T","ED0-2","Y15-74","PC_ACT","9.1"
"PL","2011","T","ED0-2","Y15-74","PC_ACT","18.3"
"PT","2011","T","ED0-2","Y15-74","PC_ACT","13.9"
"RO","2011","T","ED0-2","Y15-74","PC_ACT","7.2"
"SI","2011","T","ED0-2","Y15-74","PC_ACT","13.4"
